,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-63.0,-6.0,42.0,10.067573051054248,4347
1,1a,-63.0,6.0,36.0,8.832188795927069,
2,1b,-51.0,-12.0,39.0,8.79938390211846,
3,1c,-63.0,18.0,33.0,8.518520254163697,
4,2,60.0,0.0,36.0,9.994958362387674,1512
5,2a,69.0,6.0,39.0,9.058244242597087,
6,2b,42.0,-12.0,42.0,7.574762871845328,
7,3,66.0,15.0,27.0,8.706999302573616,1026
8,3a,51.0,3.0,30.0,7.315108710749153,
9,3b,69.0,6.0,30.0,4.555724324294079,
10,4,33.0,-6.0,12.0,7.207656642582119,1188
11,5,-63.0,-21.0,42.0,5.776276985208671,621
12,5a,-60.0,-21.0,33.0,5.700124689168869,
13,5b,-63.0,-21.0,21.0,5.661918005912672,
14,5c,-63.0,-9.0,24.0,4.366630389721001,
