Go	cond_01	cond_02	cond_03	StopSuccess	cond_05	cond_06	cond_07	cond_08	cond_09	cond_10	cond_11	cond_12	cond_13	cond_14	cond_15	cond_16	cond_17	cond_18	cond_19
-0.230218	0.07903246	0.003727029	0.002862131	-0.05071653	-0.0002176371	-0.01744384	-0.001386258	-0.006433648	0.0001339978	-0.8860626	-20.01914	-0.824757	-0.1107162	0.04754883	-0.04071822	-0.2189085	0.001071228	0.0001401152	-0.0005169094
-0.1495866	0.1001788	0.006584777	-0.006082725	-0.05059363	-0.0002317596	-0.01908064	-0.001391856	-0.006233111	0.0001350081	0.1942221	4.395541	0.1929553	-0.01192359	0.07192247	-0.01709186	-0.2091745	0.001045009	0.001172774	0.0005195634
-0.02746807	0.09490202	-0.008447237	-0.009387397	-0.05049923	-0.0002402308	-0.02073275	-0.001389159	-0.00603114	0.0001364083	0.2458521	5.561	0.1850169	0.1389087	0.03028292	0.002575482	-0.1152012	0.002018352	0.0002038213	-0.0004430454
0.04138998	0.0844981	-0.01219856	-0.0051489	-0.05039347	-0.0002130354	-0.02236831	-0.001362477	-0.005828392	0.0001371759	0.1918506	4.338797	0.06837647	0.007630414	0.01260977	0.002255965	-0.08690704	0.0009901533	0.0002332629	-0.0004037201
0.1420128	0.09484387	-0.01875352	-0.00760704	-0.05024491	-0.0001628865	-0.02397116	-0.001324101	-0.005625478	0.0001373339	-0.008943942	-0.2017485	0.01191068	-0.101468	0.02285408	0.0009692002	-0.0882369	0.0009595865	0.0002611074	-0.0003645617
0.2305573	0.07156737	-0.027421	-0.001884526	-0.05003916	-0.0001034205	-0.02553399	-0.001278871	-0.005423007	0.0001375843	0.0113694	0.2571533	0.01863867	-0.0227536	0.01807832	0.002708163	-0.04929903	0.0009277933	0.0002865005	-0.0003245599
0.2837426	0.03777665	-0.02253077	0.009959693	-0.04977209	-4.079824e-05	-0.02705029	-0.001191594	-0.005220184	0.0001368501	0.1028736	2.326362	0.05158352	0.09592041	-0.006743466	0.02147198	0.02290584	-0.00110513	0.000311179	-0.0002837372
0.3041743	-0.02648521	-0.007509906	0.002371956	-0.04944165	5.566379e-05	-0.02844237	0.004657382	-0.005019774	0.002743018	-0.04936164	-1.115558	-0.002205354	-0.02840912	-0.02060274	-0.006751014	0.0023402	-0.001139097	0.0003342952	-0.000242116
0.2286318	-0.1428452	-0.01779542	-0.006703786	-0.04898235	0.0001655991	-0.01826422	0.06962143	0.0003947997	0.02026857	-0.1344089	-3.029231	-0.05580978	0.05625929	-0.03950074	0.009047976	0.08399036	-0.001174035	0.0003558626	-0.0001997184
0.01709811	-0.2006358	-0.02092585	0.002035641	-0.04843301	0.004639899	0.1102973	0.0967663	0.03563049	0.02086422	-0.1211985	-2.745096	-0.06016108	0.003970076	-0.01044284	-0.007128837	0.04594498	-0.001210465	0.0003758958	-0.0001565665
-0.1719125	-0.1465777	-0.01373246	0.006635147	-0.03902626	0.06716644	0.1750878	-0.001862952	0.04213344	-0.006263639	-0.01684776	-0.3927835	-0.01832834	-0.06741099	-0.01442575	-0.005286526	0.03214076	-0.001247686	0.0003944116	-0.0001126821
-0.2734419	-0.06859175	-0.00766401	0.005374068	0.08655648	0.1000589	0.1065534	-0.07490842	0.02309441	-0.01800225	-0.04925867	-1.124096	-0.05427523	-0.02079692	-0.03943385	0.008578519	0.06354021	-0.001285658	0.0004114278	-6.808738e-05
-0.3054663	0.03652081	-0.00299288	0.01669992	0.1614853	0.005825457	0.02508093	-0.0653854	0.00617576	-0.0131169	-0.09643334	-2.182074	-0.05900871	0.0338363	-0.007464232	0.0134548	0.01212095	-0.0003239198	0.0004269642	-2.280435e-05
-0.1964507	0.1068778	0.02572718	0.01848075	0.09844431	-0.06394034	-0.02461184	-0.03659349	-0.003043155	-0.006655366	0.3196391	7.226522	0.2264733	0.1604193	0.07547507	-0.02865449	-0.0590863	0.001636689	0.0004410424	0.001023527
-0.08885015	0.04024983	0.03395945	-0.002135295	0.03397343	0.01065877	-0.04862513	-0.01592658	-0.007011799	-0.002477513	0.264877	5.980854	0.1821404	0.2549987	-0.009628017	0.04525857	0.006924041	-0.0004033877	-0.0005463147	7.010994e-05
-0.1141653	0.01576458	0.02144728	-0.009026447	0.1202657	0.0581278	-0.05704433	-0.003762408	-0.007863414	-8.868468e-05	-0.02171584	-0.4899995	-0.04700623	-0.02544158	-0.0117667	-0.001817273	0.02813952	-0.0004441464	-0.0005350819	-0.0008826895
-0.05528237	0.03868842	0.01589747	-0.01150848	0.1505522	-0.02419604	-0.05675039	0.00232928	-0.007051913	0.001015687	-0.1421262	-3.20573	-0.09596299	-0.02791018	-0.007941847	-0.01487409	0.04454672	-0.0004855939	0.000474501	0.0001651053
-0.03533801	-0.03544741	-0.001578676	-0.01421263	0.07213338	-0.03671317	-0.05298549	0.004087845	-0.005697155	0.001225016	-0.1202977	-2.720069	-0.1047092	0.0166149	-0.004148016	-0.0079151	0.01214403	-0.000527746	-0.0005169934	0.0002134702
-0.124926	-0.05810319	-0.01253646	0.001729799	0.07754981	0.04257761	-0.04916497	0.003438922	-0.004470956	0.0009856505	-0.1422401	-3.203231	-0.09423868	-0.09583189	-0.0003691882	-0.01294463	0.02689504	-0.0005704251	-0.0005096071	0.000262584
-0.1493983	0.06071519	0.00187245	0.01958094	0.1577012	0.01657046	-0.04668833	0.002069721	-0.00359851	0.0006510994	-0.1429641	-3.222466	-0.1155624	-0.1152959	0.003377162	-0.00896954	0.02177393	-0.0006137345	-0.0005037268	0.0003121781
-0.001105052	0.1292095	0.0266167	0.009633479	0.1109356	-0.06752103	-0.0456	0.0008974246	-0.003043961	0.0003879494	-0.1425586	-3.223779	-0.1167617	-0.05279681	-0.01392522	-0.003979867	0.04383883	-0.0006580812	-0.0004991058	0.0003620778
0.1099299	0.0695157	0.02113023	-0.001161084	0.02300186	-0.07236341	-0.04546522	0.000154224	-0.002699435	0.0002260366	-0.2130048	-4.817745	-0.1628115	-0.05334763	-0.01926516	0.004013713	0.08706965	-0.0007033324	-0.0004955854	0.0004124432
0.1377264	0.01506871	0.02428545	-0.001936027	-0.03326449	-0.04069175	-0.04586295	-0.0002323962	-0.002469719	0.0001411513	-0.2133089	-4.817508	-0.1647003	-0.09490581	-0.02764564	0.006013091	0.1084662	-0.0007496505	-0.0004933921	0.0004632482
0.1395897	-0.01564138	0.01724904	-0.01806406	-0.05773708	-0.01575563	-0.04650241	-0.0003928208	-0.002295635	0.0001006047	-0.2464421	-5.571406	-0.1724221	-0.09048985	-0.03406469	-0.006983134	0.1150123	-0.0007969665	-0.0004923518	0.0005144667
0.1059474	-0.03555431	-0.01185168	-0.01629615	-0.06407998	-0.00205716	-0.0472226	-0.0003911053	-0.00214752	0.0001045789	-0.1974097	-4.450572	-0.1379836	-0.09108648	-0.028523	-0.007978552	0.1377039	-0.001845354	-0.0004924257	0.0005660719
