ROI,X,Y,Z
1,-25,-98,-12
2,27,-97,-13
3,24,32,-18
4,-56,-45,-24
5,8,41,-24
6,-21,-22,-20
7,17,-28,-17
8,-37,-29,-26
9,65,-24,-19
10,52,-34,-27
11,55,-31,-17
12,34,38,-12
13,-7,-52,61
14,-14,-18,40
15,0,-15,47
16,10,-2,45
17,-7,-21,65
18,-7,-33,72
19,13,-33,75
20,-54,-23,43
21,29,-17,71
22,10,-46,73
23,-23,-30,72
24,-40,-19,54
25,29,-39,59
26,50,-20,42
27,-38,-27,69
28,20,-29,60
29,44,-8,57
30,-29,-43,61
31,10,-17,74
32,22,-42,69
33,-45,-32,47
34,-21,-31,61
35,-13,-17,75
36,42,-20,55
37,-38,-15,69
38,-16,-46,73
39,2,-28,60
40,3,-17,58
41,38,-17,45
42,-49,-11,35
43,36,-9,14
44,51,-6,32
45,-53,-10,24
46,66,-8,25
47,-3,2,53
48,54,-28,34
49,19,-8,64
50,-16,-5,71
51,-10,-2,42
52,37,1,-4
53,13,-1,70
54,7,8,51
55,-45,0,9
56,49,8,-1
57,-34,3,4
58,-51,8,-2
59,-5,18,34
60,36,10,1
61,32,-26,13
62,65,-33,20
63,58,-16,7
64,-38,-33,17
65,-60,-25,14
66,-49,-26,5
67,43,-23,20
68,-50,-34,26
69,-53,-22,23
70,-55,-9,12
71,56,-5,13
72,59,-17,29
73,-30,-27,12
74,-41,-75,26
75,6,67,-4
76,8,48,-15
77,-13,-40,1
78,-18,63,-9
79,-46,-61,21
80,43,-72,28
81,-44,12,-34
82,46,16,-30
83,-68,-23,-16
84,-58,-26,-15
85,27,16,-17
86,-44,-65,35
87,-39,-75,44
88,-7,-55,27
89,6,-59,35
90,-11,-56,16
91,-3,-49,13
92,8,-48,31
93,15,-63,26
94,-2,-37,44
95,11,-54,17
96,52,-59,36
97,23,33,48
98,-10,39,52
99,-16,29,53
100,-35,20,51
101,22,39,39
102,13,55,38
103,-10,55,39
104,-20,45,39
105,6,54,16
106,6,64,22
107,-7,51,-1
108,9,54,3
109,-3,44,-9
110,8,42,-5
111,-11,45,8
112,-2,38,36
113,-3,42,16
114,-20,64,19
115,-8,48,23
116,65,-12,-19
117,-56,-13,-10
118,-58,-30,-4
119,65,-31,-9
120,-68,-41,-5
121,13,30,59
122,12,36,20
123,52,-2,-16
124,-26,-40,-8
125,27,-37,-13
126,-34,-38,-16
127,28,-77,-32
128,52,7,-30
129,-53,3,-27
130,47,-50,29
131,-49,-42,1
132,-31,19,-19
133,-2,-35,31
134,-7,-71,42
135,11,-66,42
136,4,-48,51
137,-46,31,-13
138,-10,11,67
139,49,35,-12
140,8,-91,-7
141,17,-91,-14
142,-12,-95,-13
143,18,-47,-10
144,40,-72,14
145,8,-72,11
146,-8,-81,7
147,-28,-79,19
148,20,-66,2
149,-24,-91,19
150,27,-59,-9
151,-15,-72,-8
152,-18,-68,5
153,43,-78,-12
154,-47,-76,-10
155,-14,-91,31
156,15,-87,37
157,29,-77,25
158,20,-86,-2
159,15,-77,31
160,-16,-52,-1
161,42,-66,-8
162,24,-87,24
163,6,-72,24
164,-42,-74,0
165,26,-79,-16
166,-16,-77,34
167,-3,-81,21
168,-40,-88,-6
169,37,-84,13
170,6,-81,6
171,-26,-90,3
172,-33,-79,-13
173,37,-81,1
174,-44,2,46
175,48,25,27
176,-47,11,23
177,-53,-49,43
178,-23,11,64
179,58,-53,-14
180,24,45,-15
181,34,54,-13
182,-21,41,-20
183,-18,-76,-24
184,17,-80,-34
185,35,-67,-34
186,47,10,33
187,-41,6,33
188,-42,38,21
189,38,43,15
190,49,-42,45
191,-28,-58,48
192,44,-53,47
193,32,14,56
194,37,-65,40
195,-42,-55,45
196,40,18,40
197,-34,55,4
198,-42,45,-2
199,33,-53,44
200,43,49,-2
201,-42,25,30
202,-3,26,44
203,11,-39,50
204,55,-45,37
205,42,0,47
206,31,33,26
207,48,22,10
208,-35,20,0
209,36,22,3
210,37,32,-2
211,34,16,-8
212,-11,26,25
213,-1,15,44
214,-28,52,21
215,0,30,27
216,5,23,37
217,10,22,27
218,31,56,14
219,26,50,27
220,-39,51,17
221,2,-24,30
222,6,-24,0
223,-2,-13,12
224,-10,-18,7
225,12,-17,8
226,-5,-28,-4
227,-22,7,-5
228,-15,4,8
229,31,-14,2
230,23,10,1
231,29,1,4
232,-31,-11,0
233,15,5,7
234,9,-4,6
235,54,-43,22
236,-56,-50,10
237,-55,-40,14
238,52,-33,8
239,51,-29,-4
240,56,-46,11
241,53,33,1
242,-49,25,-1
243,-16,-65,-20
244,-32,-55,-25
245,22,-58,-23
246,1,-62,-18
247,33,-12,-34
248,-31,-10,-36
249,49,-3,-38
250,-50,-7,-39
251,10,-62,61
252,-52,-63,5
253,-47,-51,-21
254,46,-47,-17
255,47,-30,49
256,22,-65,48
257,46,-59,4
258,25,-58,60
259,-33,-46,47
260,-27,-71,37
261,-32,-1,54
262,-42,-60,-9
263,-17,-59,64
264,29,-5,54
