csf	constant	linearTrend	pc1	wm	global	motion-pitch	motion-roll	motion-yaw	motion-x	motion-y	motion-z	gm	compcor1	compcor2	compcor3	compcor4	compcor5
1.229839302974849852e+04	1.000000000000000000e+00	0.000000000000000000e+00	-1.209729536732183641e-01	9.371661171813821056e+03	9.955469319526111576e+03	1.032000000000000001e-01	-6.370000000000000662e-02	-1.516000000000000125e-01	8.400000000000000522e-02	-3.760000000000000148e-02	-1.119999999999999989e-02	1.061830985554671679e+04	-3.998130120715670532e-02	-9.426659583461102776e-03	-7.456785131929072330e-02	8.386601617226326078e-03	-3.655864871360897661e-02
1.227561693822728921e+04	1.000000000000000000e+00	1.000000000000000000e+00	-1.327750198554419891e-01	9.361044879814751766e+03	9.947987149952519758e+03	9.529999999999999583e-02	-7.080000000000000182e-02	-1.562000000000000055e-01	7.220000000000000029e-02	-1.980000000000000163e-02	2.099999999999999870e-03	1.061151430137066563e+04	-3.036472243669530169e-02	-8.704616161306136246e-02	-2.379645927002238537e-02	-6.263368565484577627e-03	-7.439287526447796450e-02
1.223879397170608172e+04	1.000000000000000000e+00	2.000000000000000000e+00	-9.783709536959696307e-02	9.369707317259690171e+03	9.945132834526119041e+03	9.710000000000000575e-02	-7.950000000000000122e-02	-1.453000000000000125e-01	9.719999999999999474e-02	-4.390000000000000152e-02	-2.409999999999999989e-02	1.059199154806529441e+04	-2.553735949083452139e-03	6.901926327939383876e-02	1.039545770217302767e-01	-3.567045347484516793e-02	-5.337239841466561580e-02
1.226398615803303255e+04	1.000000000000000000e+00	3.000000000000000000e+00	-1.282148276715167068e-01	9.347113522522880885e+03	9.943648642214780921e+03	9.180000000000000659e-02	-6.069999999999999701e-02	-1.600999999999999923e-01	8.770000000000000018e-02	-4.179999999999999688e-02	-1.329999999999999932e-02	1.059190504575471095e+04	7.901905231774197791e-02	2.557508494258098342e-02	-1.037594358704445885e-01	6.786376123117258963e-02	-7.283346221118980335e-03
1.222940510041291236e+04	1.000000000000000000e+00	4.000000000000000000e+00	-1.297649066612099888e-01	9.343649311970804774e+03	9.925640884969254330e+03	8.730000000000000260e-02	-7.059999999999999609e-02	-1.481999999999999984e-01	7.119999999999999940e-02	-3.130000000000000143e-02	-1.179999999999999973e-02	1.057099247065995587e+04	7.595937788298047499e-02	-1.701211692836823719e-02	8.140232707714770144e-02	7.865477355516237168e-02	-2.113934620198187897e-02
1.219875179476351332e+04	1.000000000000000000e+00	5.000000000000000000e+00	-1.192224525413226738e-01	9.360618189681015792e+03	9.913370059972809031e+03	9.520000000000000684e-02	-5.979999999999999899e-02	-1.448000000000000120e-01	7.499999999999999722e-02	-4.540000000000000285e-02	-1.319999999999999993e-02	1.054844239335070779e+04	1.380512059013935811e-01	6.387776264023765915e-02	1.089006881341100796e-01	3.620700496714779337e-02	-3.116285509529148623e-02
1.225196261202608912e+04	1.000000000000000000e+00	6.000000000000000000e+00	-1.525859524065708850e-01	9.360218137067467978e+03	9.905494670353064066e+03	9.420000000000000595e-02	-6.759999999999999343e-02	-1.547000000000000042e-01	8.980000000000000482e-02	-5.519999999999999907e-02	-6.499999999999999702e-03	1.053491815413159020e+04	1.263047186645633591e-01	-6.671797544625615584e-03	-1.093880790352755664e-02	1.577659322379371398e-01	-1.040877365004760080e-01
1.220366839104729661e+04	1.000000000000000000e+00	7.000000000000000000e+00	-1.553091478122576863e-01	9.365525405537269762e+03	9.904751770197943188e+03	9.840000000000000135e-02	-7.580000000000000626e-02	-1.403999999999999970e-01	9.679999999999999716e-02	-4.499999999999999833e-02	-1.319999999999999993e-02	1.054768221173824895e+04	3.470513438703820563e-02	3.315839899596026690e-03	1.884226262343367542e-01	7.405489340766269191e-02	-6.623627011220842298e-02
1.224724174174174186e+04	1.000000000000000000e+00	8.000000000000000000e+00	-1.134852969241980786e-01	9.365742593190216212e+03	9.932068887960309439e+03	9.389999999999999736e-02	-7.149999999999999412e-02	-1.287999999999999978e-01	1.001999999999999974e-01	-5.170000000000000290e-02	-1.859999999999999848e-02	1.057895506512949396e+04	3.282741288916622702e-02	8.650120832370053470e-02	9.400330970274539677e-02	-1.091031899172504316e-01	9.759276814115985799e-02
1.229378653164883690e+04	1.000000000000000000e+00	9.000000000000000000e+00	-1.224205789609634221e-01	9.375814554451962977e+03	9.947690281855195281e+03	8.530000000000000082e-02	-4.719999999999999890e-02	-1.424999999999999878e-01	8.550000000000000655e-02	-4.859999999999999737e-02	-1.170000000000000033e-02	1.059464094618281524e+04	-3.032912058061220523e-02	-4.845769387985224448e-03	-5.807504498826625977e-02	-8.712754217657325828e-03	-5.129935386294508237e-02
